"nama_usaha","alamat","lama usaha","tahun","kemitraan","aset (jutaan)","omzet (ribuan) perbulan","jml_naker","surat Izin"
"BATIK TULIS - SUNAI","DSN DENGKAH (KECAMATAN TANAH MERAH)","28","1995","8","670000000","184500000","25","SIUP"
"BATIK TULIS - HAMIDEH","DSN PACENAN (KECAMATAN TANJUNG BUMI)","21","2002","8","400000000","36000000","13","SIUP"
"BATIK TULIS - HASAN","DSN TENGGINAH (KECAMATAN MODUNG)","22","2001","8","300000000","36000000","12","SIUP"
"BATIK TULIS - AHMADI","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","23","2000","8","1000000000","720000000","11","SIUP"
"BATIK TULIS - MARYAM","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","25","1998","8","54000000","14550000","9","SIUP"
"PENGRAJIN BATIK TULIS WIJAYA CV-H SUKRAWI","DUSUN KARANG BARAT (KECAMATAN TANJUNG BUMI)","27","1996","2","1300000000","250000000","9","tidak memiliki"
"BATIK TULIS - H.RUSLI","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","38","1985","2","2500000000","240000000","9","SIUP"
"USAHA BATIK-SARENTEN","DUSUN NYANGCANGAN (KECAMATAN TANJUNG BUMI)","17","2006","8","200000000","32000000","9","tidak memiliki"
"BATIK TULIS - SUMINI","DSN DANGKAH (KECAMATAN CAMPLONG)","29","1994","8","57000000","19250000","8","SIUP"
"BATIK TULIS - MOHLIS","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","28","1995","2","5000000000","270000000","8","SIUP"
"USAHA INDUSTRI BATIK-HOTIMAH","DUSUN BUDDUK (KECAMATAN TANJUNG BUMI)","15","2008","8","300000000","32000000","8","SIUP"
"BATIK TULIS - PATIYAH","DSN PACENAN (KECAMATAN TANJUNG BUMI)","17","2006","8","420000000","36000000","8","SIUP"
"BATIK TULIS - MATIRAH","DSN PACENAN (KECAMATAN TANJUNG BUMI)","34","1989","8","900000000","158600000","8","SIUP"
"BATIK TULIS - ALI MUKDIN","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","25","1998","1","2200000000","240000000","7","tidak memiliki"
"UD BAROKAH - HJ.TINAWI","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","32","1991","2","700000000","48000000","7","SIUP"
"BATIK TULIS - MOHRI","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","18","2005","1","2500000000","336000000","7","SIUP"
"BATIK TULIS - HORIYEH","DSN PACENAN (KECAMATAN TANJUNG BUMI)","23","2000","8","200000000","32000000","7","SIUP"
"BATIK TULIS - NIK","DSN PACENAN (KECAMATAN TANJUNG BUMI)","14","2009","8","183600000","36000000","7","SIUP"
"BATIK TULIS - SAYYADI","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","23","2000","2","3500000000","144000000","6","SIUP"
"BATIK TULIS - HERIYUNI","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","52","1971","8","750000000","288000000","5","SIUP"
"BATIK TULIS - B.SUANA","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","26","1997","1","1500000000","50000000","5","SIUP"
"BATIK TULIS - NINGSIH","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","20","2003","8","3000000000","264000000","5","SIUP"
"BATIK TULIS-LULUK","DUSUN PASESEH (KECAMATAN TANJUNG BUMI)","23","2000","8","7500000000","220000000","5","SIUP"
"USAHA INDUSTRI BATIK-SUFAH","DUSUN BUDDUK (KECAMATAN TANJUNG BUMI)","16","2007","8","1900000000","32000000","5","SIUP"
"BATIK TULIS - SANIRA","DSN PACENAN (KECAMATAN TANJUNG BUMI)","23","2000","8","945000000","165600000","5","SIUP"
"BATIK TULIS - MASLUHAH","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","17","2006","8","350000000","27000000","4","SIUP"
"BATIK TULIS - MAISAK","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","44","1979","2","650000000","408000000","4","SIUP"
"BATIK TULIS - IYA","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","12","2011","8","200000000","110000000","4","SIUP"
"BATIK TULIS - HJ.SARI","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","45","1978","1","5000000000","82500000","4","SIUP"
"BATIK TULIMAHMUDEH","DSN NONG BADUNG (KECAMATAN TANJUNG BUMI)","19","2004","8","450000000","25000000","4","SIUP"
"BATIK TULIS - SEILAH","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","29","1994","8","53000000","23000000","4","tidak memiliki"
"BATIK TULIS - SAEDAH","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","12","2011","1","1000000000","115000000","4","SIUP"
"BATIK TULIS - H.MO","DSN TAJUNG (KECAMATAN TANJUNG BUMI)","27","1996","1","300000000","265000000","3","SIUP"
"BATIK TULIS - SUHA","DSN MANGKON (KECAMATAN AROSBAYA)","31","1992","8","58000000","27530000","3","SIUP"
"BATIK TULIS - MASNI","DSN MANGKON (KECAMATAN AROSBAYA)","20","2003","8","63000000","26640000","3","SIUP"
"BATIK TULIS - SUHANA","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","20","2003","8","63000000","34000000","3","SIUP"
"BATIK TULIS - MURNI","DSN DENGKAH (KECAMATAN TANAH MERAH)","31","1992","8","67000000","25750000","3","SIUP"
"BATIK TULIS ROBIK AH","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","19","2004","8","620000000","19730000","3","SIUP"
"BATIK TULIS SULIHA","DSN NONGBADUNG (KECAMATAN TANJUNG BUMI)","25","1998","8","670000000","16350000","3","SIUP"
"BATIK TULIS-TUMA","DSN DENGKAH (KECAMATAN TANAH MERAH)","28","1995","8","675000000","21000000","3","SIUP"
"BATIK TULIS - HOSNIYAH","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","29","1994","8","53000000","24000000","3","SIUP"
"BATIK TULIS - WANI","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","30","1993","8","56000000","23000000","3","proses pengurusan"
"BATIK TULIS - SUYATI","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","30","1993","8","57000000","22150000","3","SIUP"
"BATIK TULIS - MARSANI","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","30","1993","8","59000000","24000000","3","SIUP"
"BATIK TULIS - SUTAMI","DSN PRAJAN (KECAMATAN TANJUNG BUMI)","30","1993","8","63000000","23750000","3","SIUP"
"PENGRAJIN BATIK TULIS -SLAMET.H.","DUSUN RANGMANTEN (KECAMATAN TANJUNG BUMI)","21","2002","8","130000000","20000000","3","SIUP"
"BATIK TULIS RUMAYYAH","DSN BULANJANG (KECAMATAN TANJUNG BUMI)","19","2004","8","570000000","19850000","3","SIUP"
